node, book, chapter, verse, language, lex, pred, word_order, tense, stem, type, func
27,Genesis,1,2,Hebrew,RXP[,,S-ptc,ptca,piel,verb,PreC
90,Genesis,1,6,Hebrew,BDL[,HJH[,ptc,ptca,hif,verb,PreC
187,Genesis,1,11,Hebrew,ZR<[,,ptc,ptca,hif,verb,PreC
191,Genesis,1,11,Hebrew,<FH[,,ptc,ptca,qal,verb,PreC
210,Genesis,1,12,Hebrew,ZR<[,,ptc,ptca,hif,verb,PreC
216,Genesis,1,12,Hebrew,<FH[,,ptc,ptca,qal,verb,PreC
395,Genesis,1,21,Hebrew,RMF[,,ptc,ptca,qal,verb,PreC
530,Genesis,1,26,Hebrew,RMF[,,ptc,ptca,qal,verb,PreC
586,Genesis,1,28,Hebrew,RMF[,,ptc,ptca,qal,verb,PreC
599,Genesis,1,29,Hebrew,ZR<[,,ptc,ptca,qal,verb,PreC
616,Genesis,1,29,Hebrew,ZR<[,,ptc,ptca,qal,verb,PreC
637,Genesis,1,30,Hebrew,RMF[,,ptc,ptca,qal,subs,Cmpl
841,Genesis,2,9,Hebrew,XMD[,,ptc,ptca,nif,verb,PreC
865,Genesis,2,10,Hebrew,JY>[,,S-ptc,ptca,qal,verb,PreC
888,Genesis,2,11,Hebrew,SBB[,,ptc,ptca,qal,verb,PreC
921,Genesis,2,13,Hebrew,SBB[,,ptc,ptca,qal,verb,PreC
935,Genesis,2,14,Hebrew,HLK[,,ptc,ptca,qal,verb,PreC
1243,Genesis,3,5,Hebrew,JD<[,,ptc-S,ptca,qal,verb,PreC
1257,Genesis,3,5,Hebrew,JD<[,,ptc,ptca,qal,subs,PreC
1279,Genesis,3,6,Hebrew,XMD[,,ptc-S,ptca,nif,verb,PreC
1321,Genesis,3,8,Hebrew,HLK[,,ptc,ptca,hit,verb,PreC
1435,Genesis,3,14,Hebrew,>RR[,,ptc-S,ptcp,qal,verb,PreC
1519,Genesis,3,17,Hebrew,>RR[,,ptc-S,ptcp,qal,verb,PreC
1659,Genesis,3,24,Hebrew,HPK[,,ptc,ptca,hit,verb,PreC
1697,Genesis,4,2,Hebrew,R<H[,HJH[,S-ptc,ptca,qal,subs,PreC
1702,Genesis,4,2,Hebrew,<BD[,HJH[,S-ptc,ptca,qal,subs,PreC
1779,Genesis,4,7,Hebrew,RBY[,,S-ptc,ptca,qal,verb,PreC
1821,Genesis,4,9,Hebrew,CMR[,,ptc-S,ptca,qal,verb,PreC
1831,Genesis,4,10,Hebrew,Y<Q[,,S-ptc,ptca,qal,verb,PreC
1838,Genesis,4,11,Hebrew,>RR[,,ptc-S,ptcp,qal,verb,PreC
1864,Genesis,4,12,Hebrew,NW<[,HJH[,ptc-ptc,ptca,qal,adjv,PreC
1866,Genesis,4,12,Hebrew,NWD[,HJH[,ptc-ptc,ptca,qal,adjv,PreC
1896,Genesis,4,14,Hebrew,NW<[,HJH[,ptc-ptc,ptca,qal,adjv,PreC
1898,Genesis,4,14,Hebrew,NWD[,HJH[,ptc-ptc,ptca,qal,adjv,PreC
1905,Genesis,4,14,Hebrew,MY>[,,ptc,ptca,qal,verb,PtcO
1913,Genesis,4,15,Hebrew,HRG[,,ptc,ptca,qal,verb,PreC
1928,Genesis,4,15,Hebrew,MY>[,NKH[,S,ptca,qal,subs,Subj
1956,Genesis,4,17,Hebrew,BNH[,,ptc,ptca,qal,verb,PreC
2011,Genesis,4,20,Hebrew,JCB[,HJH[,S-ptc,ptca,qal,subs,PreC
2023,Genesis,4,21,Hebrew,TPF[,HJH[,S-ptc,ptca,qal,subs,PreC
2034,Genesis,4,22,Hebrew,LVC[,,ptc-ptc,ptca,qal,subs,PreC
2036,Genesis,4,22,Hebrew,XRC=[,,ptc-ptc,ptca,qal,subs,PreC
2846,Genesis,6,13,Hebrew,CXT[,,ptc,ptca,hif,verb,PtcO
2916,Genesis,6,17,Hebrew,BW>[,,ptc,ptca,hif,verb,PreC
3111,Genesis,7,4,Hebrew,MVR[,,S-ptc,ptca,hif,verb,PreC
3193,Genesis,7,8,Hebrew,RMF[,,ptc,ptca,qal,verb,PreC
3320,Genesis,7,14,Hebrew,RMF[,,ptc,ptca,qal,verb,PreC
3355,Genesis,7,16,Hebrew,BW>[,,ptc,ptca,qal,verb,PreC
3453,Genesis,7,21,Hebrew,RMF[,,ptc,ptca,qal,verb,PreC
3474,Genesis,7,21,Hebrew,CRY[,,ptc,ptca,qal,verb,PreC
3893,Genesis,8,17,Hebrew,RMF[,,ptc,ptca,qal,verb,PreC
3933,Genesis,8,19,Hebrew,RMF[,,ptc,ptca,qal,verb,PreC
4135,Genesis,9,6,Hebrew,CPK[,,ptc,ptca,qal,subs,Frnt
4178,Genesis,9,9,Hebrew,QWM[,,ptc,ptca,hif,verb,PreC
4209,Genesis,9,10,Hebrew,JY>[,,ptc,ptca,qal,verb,PreC
4250,Genesis,9,12,Hebrew,NTN[,,S-ptc,ptca,qal,verb,PreC
4375,Genesis,9,18,Hebrew,JY>[,,ptc,ptca,qal,verb,PreC
4482,Genesis,9,25,Hebrew,>RR[,,ptc-S,ptcp,qal,verb,PreC
4491,Genesis,9,26,Hebrew,BRK[,,ptc-S,ptcp,qal,verb,PreC
5520,Genesis,12,3,Hebrew,BRK[,BRK[,ptc,ptca,piel,subs,Objc
5522,Genesis,12,3,Hebrew,QLL[,>RR[,ptc,ptca,piel,subs,Objc
5631,Genesis,12,7,Hebrew,R>H[,,ptc,ptca,nif,verb,PreC
5944,Genesis,13,5,Hebrew,HLK[,,ptc,ptca,qal,verb,PreC
5976,Genesis,13,7,Hebrew,R<H[,HJH[,S-ptc-ptc,ptca,qal,subs,PreC
5981,Genesis,13,7,Hebrew,R<H[,HJH[,S-ptc-ptc,ptca,qal,subs,PreC
5991,Genesis,13,7,Hebrew,JCB[,,S-ptc,ptca,qal,verb,PreC
6009,Genesis,13,8,Hebrew,R<H[,HJH[,S-ptc-ptc,ptca,qal,subs,Cmpl
6012,Genesis,13,8,Hebrew,R<H[,HJH[,S-ptc-ptc,ptca,qal,subs,Cmpl
6151,Genesis,13,15,Hebrew,R>H[,,S-ptc,ptca,qal,verb,PreC
6339,Genesis,14,7,Hebrew,JCB[,,ptc,ptca,qal,verb,PreC
6407,Genesis,14,10,Hebrew,C>R[,NWS[,S,ptca,nif,subs,Subj
6438,Genesis,14,12,Hebrew,JCB[,,S-ptc,ptca,qal,verb,PreC
6453,Genesis,14,13,Hebrew,CKN[,,S-ptc,ptca,qal,verb,PreC
6574,Genesis,14,19,Hebrew,BRK[,,ptc-S-ptc,ptcp,qal,verb,PreC
6579,Genesis,14,19,Hebrew,QNH=[,,ptc-S-ptc,ptca,qal,subs,Cmpl
6584,Genesis,14,20,Hebrew,BRK[,,ptc-S,ptcp,qal,verb,PreC
6625,Genesis,14,22,Hebrew,QNH=[,RWM[,ptc,ptca,qal,subs,Cmpl
6704,Genesis,15,2,Hebrew,HLK[,,S-ptc,ptca,qal,verb,PreC
6725,Genesis,15,3,Hebrew,JRC[,,S-ptc,ptca,qal,verb,PreC
6814,Genesis,15,9,Hebrew,CLC[,LQX[,ptc-ptc-ptc,ptcp,pual,adjv,Objc
6817,Genesis,15,9,Hebrew,CLC[,LQX[,ptc-ptc-ptc,ptcp,pual,adjv,Objc
6820,Genesis,15,9,Hebrew,CLC[,LQX[,ptc-ptc-ptc,ptcp,pual,adjv,Objc
6877,Genesis,15,12,Hebrew,NPL[,,S-ptc,ptca,qal,verb,PreC
6908,Genesis,15,14,Hebrew,DJN[,,ptc-S,ptca,qal,verb,PreC
7197,Genesis,16,8,Hebrew,BRX[,,S-ptc,ptca,qal,verb,PreC
7232,Genesis,16,11,Hebrew,JLD[,,ptc,ptca,qal,verb,PreC
7267,Genesis,16,13,Hebrew,DBR[,,ptc,ptca,qal,verb,PreC
7279,Genesis,16,13,Hebrew,R>H[,,ptc,ptca,qal,verb,PtcO
7639,Genesis,17,19,Hebrew,JLD[,,S-ptc,ptca,qal,verb,PreC
7810,Genesis,18,1,Hebrew,JCB[,,S-ptc,ptca,qal,verb,PreC
7827,Genesis,18,2,Hebrew,NYB[,,S-ptc,ptca,nif,verb,PreC
7949,Genesis,18,8,Hebrew,<MD[,,S-ptc,ptca,qal,verb,PreC
7985,Genesis,18,10,Hebrew,CM<[,,S-ptc,ptca,qal,verb,PreC
7997,Genesis,18,11,Hebrew,BW>[,,ptc,ptca,qal,verb,PreC
8088,Genesis,18,16,Hebrew,HLK[,,S-ptc,ptca,qal,verb,PreC
8096,Genesis,18,17,Hebrew,KSH[,,ptc-S,ptca,piel,verb,PreC
8102,Genesis,18,17,Hebrew,<FH[,,S-ptc,ptca,qal,verb,PreC
8190,Genesis,18,22,Hebrew,<MD[,,ptc,ptca,qal,verb,PreC
8254,Genesis,18,25,Hebrew,CPV[,<FH[,S,ptca,qal,subs,Subj
8435,Genesis,19,1,Hebrew,JCB[,,S-ptc,ptca,qal,verb,PreC
8695,Genesis,19,13,Hebrew,CXT[,,ptc-S,ptca,hif,verb,PreC
8720,Genesis,19,14,Hebrew,LQX[,DBR[,ptc,ptca,qal,subs,Cmpl
8732,Genesis,19,14,Hebrew,CXT[,,ptc-S,ptca,hif,verb,PreC
8740,Genesis,19,14,Hebrew,YXQ[,HJH[,ptc,ptca,piel,subs,PreC
8766,Genesis,19,15,Hebrew,MY>[,,ptc,ptca,nif,verb,PreC
8972,Genesis,19,25,Hebrew,JCB[,HPK[,ptc,ptca,qal,subs,Objc
9295,Genesis,20,3,Hebrew,MWT[,,ptc,ptca,qal,verb,PreC
9303,Genesis,20,3,Hebrew,B<L[,,S-ptc,ptcp,qal,subs,PreC
9389,Genesis,20,7,Hebrew,CWB[,,ptc,ptca,hif,verb,PreC
9588,Genesis,20,16,Hebrew,JKX[,,ptc,ptca,nif,verb,PreC
9703,Genesis,21,6,Hebrew,CM<[,,ptc,ptca,qal,verb,PreC
9748,Genesis,21,9,Hebrew,YXQ[,,ptc,ptca,piel,verb,PreC
9841,Genesis,21,14,Hebrew,FJM[,,ptc,ptca,qal,verb,PreC
9883,Genesis,21,16,Hebrew,VXH[,JCB[,ptc,ptca,piel,subs,Modi
9990,Genesis,21,20,Hebrew,RBH=[,HJH[,ptc,ptca,qal,subs,PreC
10029,Genesis,21,22,Hebrew,<FH[,,S-ptc,ptca,qal,verb,PreC
10620,Genesis,22,17,Hebrew,>JB[,JRC[,S-ptc,ptca,qal,subs,Objc
10776,Genesis,23,3,Hebrew,MWT[,QWM[,S-ptc,ptca,qal,subs,Cmpl
10796,Genesis,23,4,Hebrew,MWT[,QBR[,ptc,ptca,qal,subs,Objc
10821,Genesis,23,6,Hebrew,MWT[,QBR[,ptc,ptca,qal,subs,Objc
10831,Genesis,23,6,Hebrew,MWT[,QBR[,ptc,ptca,qal,subs,Objc
10856,Genesis,23,8,Hebrew,MWT[,QBR[,ptc,ptca,qal,subs,Objc
10893,Genesis,23,10,Hebrew,JCB[,,S-ptc,ptca,qal,verb,PreC
10911,Genesis,23,10,Hebrew,BW>[,<NH[,S-ptc,ptca,qal,subs,Adju
10937,Genesis,23,11,Hebrew,MWT[,QBR[,ptc,ptca,qal,subs,Objc
10971,Genesis,23,13,Hebrew,MWT[,QBR[,ptc,ptca,qal,subs,Objc
10995,Genesis,23,15,Hebrew,MWT[,QBR[,ptc,ptca,qal,subs,Objc
11020,Genesis,23,16,Hebrew,<BR[,,ptc-ptc,ptca,qal,verb,PreC
11023,Genesis,23,16,Hebrew,SXR[,,ptc-ptc,ptca,qal,subs,Cmpl
11066,Genesis,23,18,Hebrew,BW>[,QWM[,S-ptc,ptca,qal,subs,Adju
11131,Genesis,24,2,Hebrew,MCL[,,ptc,ptca,qal,verb,PreC
11164,Genesis,24,3,Hebrew,JCB[,,S-ptc,ptca,qal,verb,PreC
11349,Genesis,24,11,Hebrew,C>B[,JY>[,S,ptca,qal,subs,Subj
11370,Genesis,24,13,Hebrew,NYB[,,S-ptc,ptca,nif,verb,PreC
11380,Genesis,24,13,Hebrew,JY>[,,S-ptc,ptca,qal,verb,PreC
11427,Genesis,24,15,Hebrew,JY>[,,S-ptc,ptca,qal,verb,PreC
11528,Genesis,24,21,Hebrew,C>H==[,,S-ptc-ptc,ptca,hit,verb,PreC
11530,Genesis,24,21,Hebrew,XRC[,,S-ptc-ptc,ptca,hif,adjv,PrAd
11615,Genesis,24,27,Hebrew,BRK[,,ptc-S,ptcp,qal,verb,PreC
11705,Genesis,24,30,Hebrew,<MD[,,ptc,ptca,qal,verb,PreC
11715,Genesis,24,31,Hebrew,BRK[,,ptc,ptcp,qal,subs,Voct
11842,Genesis,24,37,Hebrew,JCB[,,S-ptc,ptca,qal,verb,PreC
11928,Genesis,24,42,Hebrew,YLX[,,ptc,ptca,hif,verb,PreC
11932,Genesis,24,42,Hebrew,HLK[,,S-ptc,ptca,qal,verb,PreC
11936,Genesis,24,43,Hebrew,NYB[,,S-ptc,ptca,nif,verb,PreC
11946,Genesis,24,43,Hebrew,JY>[,,ptc,ptca,qal,verb,PreC
11988,Genesis,24,45,Hebrew,JY>[,,S-ptc,ptca,qal,verb,PreC
12084,Genesis,24,49,Hebrew,<FH[,,ptc,ptca,qal,verb,PreC
12288,Genesis,24,60,Hebrew,FN>[,JRC[,S-ptc,ptca,qal,subs,Objc
12321,Genesis,24,62,Hebrew,JCB[,,S-ptc,ptca,qal,verb,PreC
12345,Genesis,24,63,Hebrew,BW>[,,S-ptc,ptca,qal,verb,PreC
12372,Genesis,24,65,Hebrew,HLK[,,ptc,ptca,qal,verb,PreC
12831,Genesis,25,26,Hebrew,>XZ[,,S-ptc,ptca,qal,verb,PreC
12855,Genesis,25,27,Hebrew,JD<[,,ptc,ptca,qal,verb,PreC
12863,Genesis,25,27,Hebrew,JCB[,,ptc,ptca,qal,verb,PreC
12876,Genesis,25,28,Hebrew,>HB[,,S-ptc,ptca,qal,verb,PreC
12929,Genesis,25,32,Hebrew,HLK[,,S-ptc,ptca,qal,verb,PreC
13144,Genesis,26,8,Hebrew,YXQ[,,S-ptc,ptca,piel,verb,PreC
13202,Genesis,26,11,Hebrew,NG<[,,ptc,ptca,qal,verb,PreC
13350,Genesis,26,20,Hebrew,R<H[,RJB[,S-ptc,ptca,qal,subs,Subj
13353,Genesis,26,20,Hebrew,R<H[,RJB[,S-ptc,ptca,qal,subs,Cmpl
13534,Genesis,26,29,Hebrew,BRK[,,S-ptc,ptcp,qal,adjv,PreC
13706,Genesis,27,5,Hebrew,CM<[,,S-ptc,ptca,qal,verb,PreC
13735,Genesis,27,6,Hebrew,DBR[,,ptc,ptca,piel,verb,PreC
13767,Genesis,27,8,Hebrew,YWH[,,S-ptc,ptca,piel,verb,PreC
13828,Genesis,27,12,Hebrew,T<<[,HJH[,ptc,ptca,piel,subs,PreC
14123,Genesis,27,29,Hebrew,>RR[,,S-ptc,ptca,qal,subs,Subj
14124,Genesis,27,29,Hebrew,>RR[,,S-ptc,ptcp,qal,verb,PreC
14126,Genesis,27,29,Hebrew,BRK[,,S-ptc,ptca,piel,subs,Subj
14127,Genesis,27,29,Hebrew,BRK[,,S-ptc,ptcp,qal,verb,PreC
14205,Genesis,27,33,Hebrew,YWD[,,ptc,ptca,qal,verb,PreC
14220,Genesis,27,33,Hebrew,BRK[,HJH[,ptc,ptcp,qal,adjv,PreC
14420,Genesis,27,42,Hebrew,NXM[,,S-ptc,ptca,hit,verb,PreC
14484,Genesis,27,46,Hebrew,LQX[,,ptc-S,ptca,qal,verb,PreC
14711,Genesis,28,12,Hebrew,NYB[,,S-ptc,ptcp,hof,verb,PreC
14715,Genesis,28,12,Hebrew,NG<[,,S-ptc,ptca,hif,verb,PreC
14722,Genesis,28,12,Hebrew,<LH[,,S-ptc,ptca,qal,verb,PreC
14724,Genesis,28,12,Hebrew,JRD[,,ptc,ptca,qal,verb,PreC
14729,Genesis,28,13,Hebrew,NYB[,,S-ptc,ptca,nif,verb,PreC
14745,Genesis,28,13,Hebrew,CKB[,,S-ptc,ptca,qal,verb,PreC
14830,Genesis,28,17,Hebrew,JR>[,,ptc-S,ptca,nif,adjv,PreC
14906,Genesis,28,20,Hebrew,HLK[,,S-ptc,ptca,qal,verb,PreC
14972,Genesis,29,2,Hebrew,RBY[,,S-ptc,ptca,qal,verb,PreC
15061,Genesis,29,6,Hebrew,BW>[,,S-ptc,ptca,qal,verb,PreC
15108,Genesis,29,9,Hebrew,DBR[,,ptc,ptca,piel,verb,PreC
15120,Genesis,29,9,Hebrew,R<H[,,ptc-S,ptca,qal,subs,PreC
15493,Genesis,29,31,Hebrew,FN>[,,ptc-S,ptcp,qal,adjv,PreC
15535,Genesis,29,33,Hebrew,FN>[,,ptc-S,ptcp,qal,adjv,PreC
15616,Genesis,30,1,Hebrew,MWT[,,ptc-S,ptca,qal,subs,PreC
16105,Genesis,30,32,Hebrew,VL>[,SWR[,ptc-ptc,ptcp,qal,adjv,Objc
16114,Genesis,30,32,Hebrew,VL>[,SWR[,ptc-ptc,ptcp,qal,subs,Objc
16141,Genesis,30,33,Hebrew,VL>[,,ptc,ptcp,qal,adjv,PreC
16150,Genesis,30,33,Hebrew,GNB[,,ptc-S,ptcp,qal,verb,PreC
16175,Genesis,30,35,Hebrew,VL>[,SWR[,ptc-ptc,ptcp,qal,adjv,Objc
16185,Genesis,30,35,Hebrew,VL>[,SWR[,ptc-ptc,ptcp,qal,adjv,Objc
16212,Genesis,30,36,Hebrew,R<H[,,S-ptc,ptca,qal,verb,PreC
16217,Genesis,30,36,Hebrew,JTR[,,ptc,ptca,nif,verb,PreC
16285,Genesis,30,39,Hebrew,VL>[,JLD[,S-ptc,ptcp,qal,adjv,Objc
16324,Genesis,30,41,Hebrew,QCR[,JXM[,S,ptcp,pual,adjv,Subj
16358,Genesis,30,42,Hebrew,QCR[,,S,ptcp,qal,subs,Subj
16452,Genesis,31,5,Hebrew,R>H[,,ptc-S,ptca,qal,verb,PreC
16548,Genesis,31,10,Hebrew,<LH[,,ptc,ptca,qal,verb,PreC
16580,Genesis,31,12,Hebrew,<LH[,,ptc,ptca,qal,verb,PreC
16594,Genesis,31,12,Hebrew,<FH[,,S-ptc,ptca,qal,verb,PreC
16741,Genesis,31,20,Hebrew,BRX[,,ptc-S,ptca,qal,verb,PreC
16856,Genesis,31,26,Hebrew,CBH[,NHG[,ptc,ptcp,qal,subs,Adju
17123,Genesis,31,39,Hebrew,GNB[,,ptc-ptc,ptcp,qal,subs,PreO
17126,Genesis,31,39,Hebrew,GNB[,,ptc-ptc,ptcp,qal,subs,PreO
17215,Genesis,31,43,Hebrew,R>H[,,S-ptc,ptca,qal,verb,PreC
17553,Genesis,32,7,Hebrew,HLK[,,ptc,ptca,qal,verb,PreC
17606,Genesis,32,9,Hebrew,C>R[,HJH[,S,ptca,nif,adjv,Subj
17621,Genesis,32,10,Hebrew,>MR[,,ptc,ptca,qal,verb,PreC
17670,Genesis,32,12,Hebrew,JR>[,,ptc-S,ptca,qal,verb,PreC
17711,Genesis,32,14,Hebrew,BW>[,,ptc,ptca,qal,verb,PreC
17729,Genesis,32,16,Hebrew,JNQ[,,ptc,ptca,hif,adjv,Objc
17802,Genesis,32,19,Hebrew,CLX[,,ptc,ptcp,qal,verb,PreC
17826,Genesis,32,20,Hebrew,HLK[,,ptc,ptca,qal,verb,PreC
17858,Genesis,32,21,Hebrew,HLK[,,ptc,ptca,qal,verb,PreC
17877,Genesis,32,22,Hebrew,LJN[,,S-ptc,ptca,qal,verb,PreC
18043,Genesis,32,32,Hebrew,YL<[,,S-ptc,ptca,qal,verb,PreC
18085,Genesis,33,1,Hebrew,BW>[,,S-ptc,ptca,qal,verb,PreC
18299,Genesis,33,13,Hebrew,JD<[,,S-ptc,ptca,qal,verb,PreC
18310,Genesis,33,13,Hebrew,<WL[,,S-ptc,ptca,qal,verb,PreC
18778,Genesis,34,19,Hebrew,KBD[,,S-ptc,ptca,nif,adjv,PreC
18856,Genesis,34,22,Hebrew,MWL[,,S-ptc,ptca,nif,verb,PreC
18882,Genesis,34,24,Hebrew,JY>[,CM<[,S,ptca,qal,subs,Subj
18890,Genesis,34,24,Hebrew,JY>[,MWL[,S,ptca,qal,subs,Subj
18902,Genesis,34,25,Hebrew,K>B[,,ptc,ptca,qal,adjv,PreC
19013,Genesis,34,30,Hebrew,JCB[,,ptc,ptca,qal,subs,Cmpl
19041,Genesis,34,31,Hebrew,ZNH[,<FH[,ptc,ptca,qal,subs,Cmpl
19064,Genesis,35,1,Hebrew,R>H[,,ptc,ptca,nif,verb,PreC
19108,Genesis,35,3,Hebrew,<NH[,,ptc,ptca,qal,verb,PreC
19376,Genesis,35,17,Hebrew,JLD[,>MR[,S,ptca,piel,subs,Subj
19865,Genesis,36,20,Hebrew,JCB[,,S-ptc,ptca,qal,subs,PreC
20059,Genesis,36,35,Hebrew,NKH[,,ptc,ptca,hif,verb,PreC
20183,Genesis,37,2,Hebrew,R<H[,,ptc,ptca,qal,verb,PreC
20273,Genesis,37,7,Hebrew,>LM[,,S-ptc,ptca,piel,verb,PreC
20343,Genesis,37,9,Hebrew,XWH[,,S-ptc,ptca,hsht,verb,PreC
20406,Genesis,37,13,Hebrew,R<H[,,S-ptc,ptca,qal,verb,PreC
20447,Genesis,37,15,Hebrew,T<H[,,ptc,ptca,qal,verb,PreC
20464,Genesis,37,16,Hebrew,BQC[,,S-ptc,ptca,piel,verb,PreC
20470,Genesis,37,16,Hebrew,R<H[,,S-ptc,ptca,qal,verb,PreC
20480,Genesis,37,17,Hebrew,>MR[,,ptc,ptca,qal,verb,PreC
20518,Genesis,37,19,Hebrew,BW>[,,S-ptc,ptca,qal,verb,PreC
20632,Genesis,37,25,Hebrew,BW>[,,S-ptc,ptca,qal,verb,PreC
20637,Genesis,37,25,Hebrew,NF>[,,S-ptc,ptca,qal,verb,PreC
20643,Genesis,37,25,Hebrew,HLK[,,ptc,ptca,qal,verb,PreC
20684,Genesis,37,28,Hebrew,SXR[,,ptc,ptca,qal,subs,PreC
20739,Genesis,37,30,Hebrew,BW>[,,S-ptc,ptca,qal,verb,PreC
21040,Genesis,38,12,Hebrew,GZZ[,<LH[,ptc-S,ptca,qal,subs,Cmpl
21057,Genesis,38,13,Hebrew,<LH[,,S-ptc,ptca,qal,verb,PreC
21102,Genesis,38,15,Hebrew,ZNH[,,ptc,ptca,qal,subs,Cmpl
21301,Genesis,38,25,Hebrew,JY>[,,S-ptc,ptcp,hof,verb,PreC
21373,Genesis,38,28,Hebrew,JLD[,LQX[,S,ptca,piel,subs,Subj
21387,Genesis,38,29,Hebrew,CWB[,,ptc,ptca,hif,verb,PreC
21445,Genesis,39,2,Hebrew,YLX[,HJH[,ptc,ptca,hif,subs,PreC
21463,Genesis,39,3,Hebrew,<FH[,,S-ptc,ptca,qal,verb,PreC
21465,Genesis,39,3,Hebrew,YLX[,,S-ptc,ptca,hif,verb,PreC
21547,Genesis,39,6,Hebrew,>KL[,,S-ptc,ptca,qal,verb,PreC
21840,Genesis,39,20,Hebrew,>SR[,,S-ptc,ptcp,qal,verb,PreC
21888,Genesis,39,22,Hebrew,<FH[,,ptc,ptca,qal,verb,PreC
21892,Genesis,39,22,Hebrew,<FH[,HJH[,S-ptc,ptca,qal,verb,PreC
21898,Genesis,39,23,Hebrew,R>H[,,S-ptc,ptca,qal,verb,PreC
21911,Genesis,39,23,Hebrew,<FH[,,S-ptc,ptca,qal,verb,PreC
21913,Genesis,39,23,Hebrew,YLX[,,S-ptc,ptca,hif,verb,PreC
21942,Genesis,40,2,Hebrew,CQH[,QYP[,S-ptc,ptca,hif,subs,Cmpl
21964,Genesis,40,3,Hebrew,>SR[,,S-ptc,ptcp,qal,verb,PreC
21996,Genesis,40,5,Hebrew,CQH[,XLM[,S,ptca,hif,subs,Subj
22005,Genesis,40,5,Hebrew,>SR[,,ptc,ptcp,qal,verb,PreC
22022,Genesis,40,6,Hebrew,Z<P[,,ptc,ptca,qal,verb,PreC
22047,Genesis,40,8,Hebrew,PTR[,,S,ptca,qal,subs,Subj
22066,Genesis,40,9,Hebrew,CQH[,SPR[,S,ptca,hif,subs,Subj
22090,Genesis,40,10,Hebrew,PRX[,<LH[,ptc-S,ptca,qal,subs,Adju
22239,Genesis,40,17,Hebrew,>KL[,,S-ptc,ptca,qal,verb,PreC
22306,Genesis,40,20,Hebrew,CQH[,NF>[,ptc,ptca,hif,subs,Objc
22321,Genesis,40,21,Hebrew,CQH[,CWB[,ptc,ptca,hif,subs,Objc
22347,Genesis,40,23,Hebrew,CQH[,ZKR[,S,ptca,hif,subs,Subj
22360,Genesis,41,1,Hebrew,XLM[,,S-ptc,ptca,qal,verb,PreC
22363,Genesis,41,1,Hebrew,<MD[,,ptc,ptca,qal,verb,PreC
22372,Genesis,41,2,Hebrew,<LH[,,ptc-S,ptca,qal,verb,PreC
22390,Genesis,41,3,Hebrew,<LH[,,S-ptc,ptca,qal,verb,PreC
22442,Genesis,41,5,Hebrew,<LH[,,S-ptc,ptca,qal,verb,PreC
22455,Genesis,41,6,Hebrew,CDP[,,S-ptc,ptcp,qal,adjv,Subj
22457,Genesis,41,6,Hebrew,YMX[,,S-ptc,ptca,qal,verb,PreC
22508,Genesis,41,8,Hebrew,PTR[,,ptc,ptca,qal,verb,PreC
22516,Genesis,41,9,Hebrew,CQH[,DBR[,S,ptca,hif,subs,Subj
22524,Genesis,41,9,Hebrew,ZKR[,,S-ptc,ptca,hif,verb,PreC
22626,Genesis,41,15,Hebrew,PTR[,,S,ptca,qal,subs,Subj
22661,Genesis,41,17,Hebrew,<MD[,,ptc,ptca,qal,verb,PreC
22671,Genesis,41,18,Hebrew,<LH[,,ptc-S,ptca,qal,verb,PreC
22689,Genesis,41,19,Hebrew,<LH[,,S-ptc,ptca,qal,verb,PreC
22756,Genesis,41,22,Hebrew,<LH[,,S-ptc,ptca,qal,verb,PreC
22769,Genesis,41,23,Hebrew,CDP[,,S-ptc,ptcp,qal,adjv,Subj
22771,Genesis,41,23,Hebrew,YMX[,,S-ptc,ptca,qal,verb,PreC
22792,Genesis,41,24,Hebrew,NGD[,,ptc,ptca,hif,verb,PreC
22807,Genesis,41,25,Hebrew,<FH[,,S-ptc,ptca,qal,verb,PreC
22840,Genesis,41,27,Hebrew,<LH[,,ptc,ptca,qal,verb,PreC
22851,Genesis,41,27,Hebrew,CDP[,,ptc,ptcp,qal,adjv,Frnt
22868,Genesis,41,28,Hebrew,<FH[,,S-ptc,ptca,qal,verb,PreC
22875,Genesis,41,29,Hebrew,BW>[,,S-ptc,ptca,qal,verb,PreC
22932,Genesis,41,32,Hebrew,KWN[,,ptc-S,ptca,nif,verb,PreC
22940,Genesis,41,32,Hebrew,MHR[,,ptc-S,ptca,piel,verb,PreC
22950,Genesis,41,33,Hebrew,BJN[,R>H[,S-ptc,ptca,nif,adjv,Objc
22986,Genesis,41,35,Hebrew,BW>[,QBY[,ptc,ptca,qal,adjv,Objc
23067,Genesis,41,39,Hebrew,BJN[,,S,ptca,nif,subs,Subj
23501,Genesis,42,5,Hebrew,BW>[,,ptc,ptca,qal,verb,PreC
23519,Genesis,42,6,Hebrew,CBR=[,,ptc,ptca,hif,verb,PreC
23583,Genesis,42,9,Hebrew,RGL[,,ptc-S,ptca,piel,verb,PreC
23613,Genesis,42,11,Hebrew,RGL[,HJH[,S-ptc,ptca,piel,subs,PreC
23660,Genesis,42,14,Hebrew,RGL[,,ptc-S,ptca,piel,verb,PreC
23701,Genesis,42,16,Hebrew,RGL[,,ptc-S,ptca,piel,verb,PreC
23727,Genesis,42,18,Hebrew,JR>[,,S-ptc,ptca,qal,verb,PreC
23812,Genesis,42,22,Hebrew,DRC[,,ptc,ptca,nif,verb,PreC
